Author: Waqar Naseer                                                       MAFD4202 - Team Project: Program #3

                          Sales and Layaway Report         PAGE 1

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing

    S             $10.00            CA              1           AB-100001        SDFSKJ84MS09123         $1.30

    S            $129.99            DB              1           BC-200002        247R20EHF02EF8E        $16.90

    S             $89.99            CR              1           DE-300003        WI8HRW8H43FJSHF        $11.70

    L             $49.99            DB              1           EA-400004        LFW8H88W84HFW4F         $6.50

    S             $29.99            DB              1           CE-800007        WI8HRW8H43FJSHF         $3.90

    S            $129.99            DB              1           BD-110009        247R20EHF02EF8E        $16.90

    S             $89.99            CR              1           DA-120010        WI8HRW8H43FJSHF        $11.70

    S             $10.00            CA              1           AC-130011        SDFSKJ84MS09123         $1.30

    L          $1,129.99            DB              1           CE-140012        247R20EHF02EF8E       $146.90

    L             $10.00            CA              1           CE-160101        SDFSKJ84MS09123         $1.30

    S            $129.99            DB              1           AB-170102        247R20EHF02EF8E        $16.90

    S             $89.99            CR              1           CD-180103        WI8HRW8H43FJSHF        $11.70

    L             $49.99            DB              1           EA-190104        LFW8H88W84HFW4F         $6.50

    S             $20.00            CA              1           DE-210105        SDFSKJ84MS09123         $2.60

    S            $149.99            CR              1           AD-220106        247R20EHF02EF8E        $19.50

    S             $10.00            CA              1           BC-270111        SDFSKJ84MS09123         $1.30

    S          $1,129.99            DB              1           DE-280112        247R20EHF02EF8E       $146.90

    S              $9.99            CR              1           AB-290113        WI8HRW8H43FJSHF         $1.30

    L             $49.99            DB              2           CD-300014        LFW8H88W84HFW4F         $6.50

    S            $149.99            CR              2           AC-330016        247R20EHF02EF8E        $19.50
                          Sales and Layaway Report         PAGE 2

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing

    S             $29.99            DB              2           AE-340017        WI8HRW8H43FJSHF         $3.90

    S            $129.99            DB              2           CB-360019        247R20EHF02EF8E        $16.90

    S             $89.99            CR              2           DC-370023        WI8HRW8H43FJSHF        $11.70

    L             $49.99            DB              2           ED-380024        LFW8H88W84HFW4F         $6.50

    S             $20.00            CA              2           AB-400025        SDFSKJ84MS09123         $2.60

    S            $149.99            CR              2           AC-410026        247R20EHF02EF8E        $19.50

    S             $29.99            DB              2           AD-420027        WI8HRW8H43FJSHF         $3.90

    S             $10.00            CA              2           AE-430028        SDFSKJ84MS09123         $1.30

    S            $129.99            DB              2           BA-440029        247R20EHF02EF8E        $16.90

